
72
72,76
72,76,36
72,67,76,36
76,72,67,76,36
76,72,67,36,76,36
76,72,67,36,76,76,36
76,67,36,76,76,36
76,67,36,76,76
76,71,67,36,76,76
76,71,67,76,76
76,71,67,76,76,55
76,71,67,55,76,76,55
76,67,55,76,76,55
76,67,55,76,76
76,67,76,76
76,72,67,76,76
76,72,67,57,76,76
76,72,67,57,76,76,57
76,67,57,76,76,57
76,67,76,76,57
76,67,76,76
76,74,67,76,76
76,74,67,59,76,76
76,74,67,59,76,76,59
76,74,67,76,76,59
76,74,67,76,76
76,67,76,76
76,76,67,76,76
76,76,67,60,76,76
76,76,67,60,76,76,60
76,67,60,76,76,60
76,67,60,76,60
76,67,60,60
76,67,60,74,60
74,76,67,60,74,74,60
74,67,60,74,74,60
74,60,74,74,60
74,60,74,60
74,76,60,74,60
76,76,60,74,60
76,76,76,60,74,60
76,76,76,60,60
76,76,60,60
76,76,67,60,60
76,67,60,60
67,60,60
67,60,77,60
77,67,60,77,60
77,74,67,60,77,60
77,74,67,60,77,77,60
77,67,60,77,77,60
77,60,77,77,60
77,60,77,60
60,77,60
60,60
60,79,60
76,60,79,60
79,76,60,79,60
79,76,60,60,79,60
79,76,60,60,79,79,60
79,76,60,60,79,60
76,60,60,60
76,60,60,77,60
76,60,60,77,77,60
77,76,60,60,77,77,60
77,60,60,77,77,60
77,60,77,77,60
77,60,77,60
60,77,60
60,60
79,60,60
79,79,60,60
79,79,79,60,60
79,79,60,60
79,60,60
60,60
60,81,60
81,64,60,81,60
81,64,60,81,81,60
81,72,64,60,81,81,60
81,64,60,81,81,60
81,60,81,81,60
60,81,81,60
60,81,60
60,60
74,69,60,60
74,69,65,60,74,60
74,69,65,60,74,74,60
74,69,65,60,74,74
74,69,65,74,74
74,69,65,74,74,60
74,69,65,60,74,74,60
74,69,65,60,74,74
74,69,65,74,74
74,69,65,74,74,59
74,69,65,59,74,74,59
69,65,59,74,74,59
69,65,59,74,59
69,65,59,59
74,69,65,59,59
74,69,65,59,74,74,59
74,69,65,59,74,74
74,69,65,74,74
74,69,65,74
76,69,65,74
76,69,74
76,69,74,76
76,69,76,76
76,76,76
76,76
69,76,76
69,76,57,76
77,69,76,57,76
77,69,76,57,57
77,69,69,57,57
77,69,69,57,77,57
77,69,69,57,77,77,57
77,69,69,77,77,57
77,69,69,77,77
77,69,77,77
77,77,77
77
79
79,59
79,74,59,59
79,74,67,59,59
79,74,67,59,79,59
79,74,67,59,79,79,59
79,74,67,59,79,59
74,67,59,79,59
74,67,59,59
77,74,67,59,77,59
77,74,67,59,77,77,59
77,74,67,59,77,77
77,74,59,77,77
77,59,77,77
77,77,77
77,77
77
76,77
76,76
76,76,76
76,76,57,76
76,69,57,76
76,69,57,57
77,69,57,77,57
77,72,69,57,77,57
77,72,69,57,77,77,57
77,72,69,77,77,57
77,72,69,77,77
77,77,77
77
67
67,59
79,67,59
79,67,59,79
79,67,59,79,59
79,67,59,79,79,59
79,74,67,59,79,79,59
79,74,67,59,79,59
74,67,59,79,59
74,67,59,59
76,74,67,59,76,59
76,74,67,59,76,76,59
76,74,67,76,76,59
76,67,76,76,59
76,67,76,76
76,76,76
76,76
76
77
77,77
77,77,77
77
77,55
55
65,55,55
65,55,79,55
79,71,65,55,79,55
79,71,65,55,79,79,55
79,71,65,79,79,55
79,71,79,79,55
79,79,79,55
79,79,79
79,79
79
64
64,72
72,64,64,72,57
72,64,72,64,72,57
72,64,72,64,57,72,57
72,64,64,57,57
64,64,57,57
64,64,57,69,57
64,69,64,57,69,57
69,64,69,64,57,69,57
69,69,64,57,69,57
69,69,64,57,69,71,57
69,69,64,57,71,69,71,57
69,71,69,64,57,71,69,71,57
69,71,69,64,57,71,71,57
71,69,64,57,71,71,57
71,64,57,71,71,57
71,64,57,71,57
71,64,57,57
64,57,57
72,64,57,72,57
72,64,57,72,72,57
72,69,64,57,72,72,57
72,69,64,57,72,72
72,69,64,72,72
72,57,69,64,72,72
72,57,69,64,57,72,72
72,69,64,57,72,72
72,69,64,72,72
72,59,69,64,72,72
72,59,69,64,59,72,72
72,59,69,59,72
59,69,59,72
59,69,59
59,69
69
69,60
69,60,60
69,60,74,60
69,60,74,74,60
74,69,60,74,74,60
74,69,64,60,74,74,60
74,76,69,64,60,74,76,74,60
74,76,69,64,60,74,76,74
74,76,69,64,76,74,76
76,69,64,76,74,76
76,69,64,76,76
76,69,76,76
69,76,76
69,76
69,62
77,62,69,62
77,62,69,77,62
77,62,69,62,77,77,62
77,69,62,77,77,62
77,69,62,77,77
77,69,62,77,77,60
77,60,69,62,77,77,60
77,60,69,62,77,77
77,69,62,77,77
77,59,69,62,77,77
77,59,69,62,77,77,59
77,59,62,77,77,59
77,62,77,77
77,60,62,77,77
77,60,62,77,77,60
77,69,60,62,77,77,60
77,69,62,77,77,60
77,69,62,77,77
77,62,77,77
77,62,62,77,77
77,62,62,77,77,62
77,71,62,62,77,77,62
77,71,62,77,77,62
77,71,62,77,77
77,71,59,62,77,77
77,71,59,62,77,77,59
77,59,62,77,77,59
77,62,77,77,59
