
76,76
81,81
79,79
77,77
73,81,77,77
74,81,77
69,50,38,50
74,50,38,50
77,50,38,50
76,48,36,48
81,48,36,48
74,48,36,48
76,81,76,72
71,81,76,72
72,72
69,48,36,48
72,48,36,48
76,48,36,48
74,47,35,47
77,47,35,47
76,47,35,47
74,47,35,47
72,47,35,47
71,80,74,71
74,80,74,71
72,80,74,71
71,48,36,71,48
69,48,36,71,48
68,47,35,47
71,47,35,47
69,47,35,47
68,45,33,45
66,45,33,45
64,44,32,44
64,83,74,68
66,83,74,68
68,83,74,68
69,83,74,68
71,83,56,68,44,56
71,56,68,44,56
72,56,68,44,56
74,52,40,52
76,52,40,52
74,52,40,52
72,56,44,56
71,56,44,56
72,57,45,57
76,57,45,57
71,57,45,57
72,76,72,69
68,76,72,69
69,69
64,55,43,55
69,55,43,55
72,55,43,55
62,54,42,54
66,54,42,54
69,54,42,54
72,74,72,66
78,74,72,66
81,50,38,66,50
72,52,40,52
74,52,40,52
72,52,40,52
71,54,42,54
69,54,42,54
71,55,43,55
74,55,43,55
69,55,43,55
71,74,71,67
66,74,71,67
67,67
62,54,42,54
67,54,42,54
71,54,42,54
60,52,40,52
64,52,40,52
67,52,40,52
71,72,71,64
76,72,71,64
79,48,36,64,48
71,50,38,50
72,50,38,50
71,50,38,50
69,52,40,52
67,52,40,52
69,54,42,54
72,54,42,54
67,54,42,54
69,72,69,66
64,72,69,66
66,66
60,52,40,52
66,52,40,52
69,52,40,52
59,51,39,51
63,51,39,51
66,51,39,51
69,71,69,63
75,71,69,63
78,47,35,63,47
69,49,37,49
71,49,37,49
69,49,37,49
67,51,39,51
66,51,39,51
67,52,40,52
71,52,40,52
66,52,40,52
67,71,67,64
71,71,67,64
75,55,43,64,55
75,55,43,55
75,54,42,54
76,55,43,55
69,48,36,48
72,48,36,48
68,48,36,48
69,76,69,60
72,76,69,60
75,60,48,60,60
75,60,48,60
75,59,47,59
76,60,48,60
71,55,43,55
76,55,43,55
79,55,43,55
83,76,71,67
81,76,71,67
79,52,40,67,52
78,57,45,57
79,57,45,57
76,54,42,54
75,59,47,59
71,59,47,59
73,59,47,59
75,59,47,59
76,59,47,59
78,75,71,59
75,75,71,59
76,75,71,59
78,51,39,59,51
79,51,39,59,51
81,47,35,47
83,47,35,47
81,47,35,47
79,71,51,39,51
78,71,51,39,51
79,76,52,40,52
79,74,52,40,52
78,74,52,40,52
76,72,69,54,42,54
75,72,69,54,42,54
76,71,67,55,43,55
76,69,66,55,43,55
76,67,64,72,57,45,57
76,66,71,71,59,47,59
79,67,71,71,59,47,59
78,67,71,71,59,47,59
76,69,71,66,47,35,47
75,69,71,66,47,35,47
76,67,71,67,52,40,52
76,66,69,67,52,40,52
67,71,64,52,40,52
64,67,59,40,28,40
66,66,59,40,28,40
67,64,71,40,28,40
59,71,67,52,40,52
64,71,67,52,40,52
67,71,64,52,40,52
66,71,71,51,39,51
64,71,71,51,39,51
66,71,66,51,39,51
63,71,66,47,35,47
64,71,64,47,35,47
66,71,63,47,35,47
59,71,66,51,39,51
66,71,66,51,39,51
69,71,59,51,39,51
76,67,71,64,52,40,52
71,67,71,64,52,40,52
67,52,40,52
64,55,43,55
67,55,43,55
71,55,43,55
76,52,40,52
78,52,40,52
79,52,40,52
79,59,47,59
81,59,47,59
79,59,47,59
81,59,47,59
79,59,47,59
81,59,47,59
79,59,47,59
81,59,47,59
78,59,47,59
82,78,75,47,35,47
82,76,73,47,35,47
82,78,75,47,35,47
82,75,66
83
78,59,47,59
75,59,47,59
71,59,47,59
66,63,51,63
71,63,51,63
75,63,51,63
78,59,47,59
79,59,47,59
81,59,47,59
81,64,52,64
83,64,52,64
81,64,52,64
83,64,52,64
81,64,52,64
83,64,52,64
81,64,52,64
83,64,52,64
79,64,52,64
87,83,79,52,40,52
87,81,78,52,40,52
87,83,79,52,40,52
87,79,71
88
84,57,45,57
88,57,45,57
83,57,45,57
84,76,72,69
80,76,72,69
81
76,57,45,57
81,57,45,57
84,57,45,57
83,55,43,55
88,55,43,55
81,55,43,55
83,76,71,67
78,76,71,67
79
76,55,43,55
79,55,43,55
83,55,43,55
84,54,42,54
83,54,42,54
81,54,42,54
79,54,42,54
78,54,42,54
76,54,42,54
76,81,72,66
75,81,72,66
75,55,43,55
75,57,45,57
79,57,45,57
78,57,45,57
76,57,45,57
75,54,42,54
73,54,42,54
73,51,39,51
71,51,39,51
71,81,78,63
73,81,78,63
75,81,78,63
76,81,78,63
78,51,39,51
79,51,39,51
81,47,35,47
83,47,35,47
81,47,35,47
79,51,39,51
78,51,39,51
79,52,40,52
83,52,40,52
78,52,40,52
79,79,71,64
75,79,71,64
76
71,50,38,50
76,50,38,50
79,50,38,50
69,49,37,49
73,49,37,49
76,49,37,49
79,79,69,61
85,79,69,61
88,45,33,45
79,47,35,47
81,47,35,47
79,47,35,47
77,49,37,49
76,49,37,49
77,50,38,50
81,50,38,50
76,50,38,50
77,77,69,62
73,77,69,62
74
69,48,36,48
74,48,36,48
77,48,36,48
67,47,35,47
71,47,35,47
74,47,35,47
77,77,67,59
83,77,67,59
86,43,31,43
77,45,33,45
79,45,33,45
77,45,33,45
76,47,35,47
74,47,35,47
76,48,36,48
79,48,36,48
74,48,36,48
76,76,67,60
79,76,67,60
83,50,38,50
83,52,40,52
83,50,38,50
84,52,40,52
77,45,33,45
81,45,33,45
76,45,33,45
77,77,72,69
81,77,72,69
83,55,43,55
83,57,45,57
83,55,43,55
84,65,57,45,57
79,72,52,40,52
79,71,52,40,52
79,77,69,52,40,52
79,76,67,72
79,74,65,72
79,72,64
79,71,62,55,43,55
79,72,64,55,43,55
79,74,65,55,43,55
79,72,64,60,48,60
79,71,62,60,48,60
67,72,64,60,48,60
76,67,60,60
74,71,62,60
72,72,64
79,64,55,48,36,48
79,67,60,48,36,48
67,72,64,48,36,48
79,71,62,55,43,55
79,69,60,55,43,55
79,71,62,55,43,55
79,67,59,62
79,69,60,62
79,71,62
79,62,55,43,31,43
79,67,62,43,31,43
79,71,65,43,31,43
79,72,64,48,36,48
79,71,62,48,36,48
67,72,64,48,36,48
72,67,60,67,47,35,47
72,67,64,67,47,35,47
76,64,67,47,35,47
78,60,72,45,33,45
79,60,71,45,33,45
81,78,69,45,33,45
71,79,71,43,31,43
69,78,71,43,31,43
67,76,71,43,31,43
86,74,71,67,47,35,47
86,72,69,67,47,35,47
86,71,67,47,35,47
86,69,66,50,38,50
86,71,67,50,38,50
86,72,69,50,38,50
86,71,67,55,43,55
86,69,66,55,43,55
74,71,67,55,43,55
83,67,62,67
81,69,66,67
79,71,67
86,62,59,43,31,43
86,67,62,43,31,43
74,71,67,43,31,43
86,69,66,38,26,38
86,67,64,38,26,38
86,69,66,38,26,38
86,66,62,69
86,67,64,69
86,69,66
86,62,57,50,38,50
86,69,62,50,38,50
86,72,66,50,38,50
86,71,67,55,43,55
86,69,66,55,43,55
74,71,67,55,43,55
71,67,62,67,53,41,53
74,71,62,67,53,41,53
79,74,59,53,41,53
82,79,61,52,40,52
81,77,61,52,40,52
79,76,73,52,40,52
77,77,74,50,38,50
76,77,74,50,38,50
77,69,62,50,38,50
74,74,65,69,48,36,48
77,74,69,69,48,36,48
81,77,74,48,36,48
86,68,77,47,35,47
84,68,76,47,35,47
83,80,74,47,35,47
84,81,76,45,33,45
83,79,74,45,33,45
81,77,72,45,33,45
79,79,72,64,57,45,57
77,77,71,62,57,45,57
76,76,72,60,57,45,57
74,74,74,67,59,47,59
76,76,72,67,59,47,59
77,77,74,67,59,47,59
76,76,72,67,60,48,60
74,74,71,65,60,48,60
76,76,72,67,60,48,60
72,72,67,64,48,36,48
74,74,65,62,48,36,48
76,76,67,60,48,36,48
67,67,64,67,60,48,60
72,72,67,67,60,48,60
76,76,72,67,60,48,60
74,74,74,67,59,47,59
72,72,76,67,59,47,59
74,74,77,67,59,47,59
71,71,77,67,55,43,55
72,72,76,67,55,43,55
74,74,77,67,55,43,55
67,67,77,67,59,47,59
74,74,77,67,59,47,59
77,77,74,67,59,47,59
76,76,72,67,60,48,60
74,74,71,65,60,48,60
76,76,72,67,60,48,60
72,72,67,64
76,72,67,64
79
82,76,72,60
81,76,72,60
79
81,77,72,65
79,77,72,65
81
76,57,45,57
77,57,45,57
79,52,40,52
69,49,37,49
76,49,37,49
79,76,73,69,45,33,45
77,77,74,69,50,38,50
76,76,73,67,50,38,50
77,77,74,69
74,74,69,66
78,74,69,66
81
84,78,74,62
83,78,74,62
81
83,79,74,67
81,79,74,67
83
78,59,47,59
79,59,47,59
81,54,42,54
71,51,39,51
78,51,39,51
81,78,75,71,47,35,47
79,79,76,71,52,40,52
78,78,75,69,52,40,52
79,79,76,71
76,76,71,68
80,76,71,68
83
86,80,76,64
84,80,76,64
83
84,81,76,69
83,81,76,69
84
79,60,48,60
81,60,48,60
82,55,43,55
72,52,40,52
79,52,40,52
82,79,76,72,48,36,48
81,81,77,72,53,41,53
79,79,76,70,53,41,53
81,81,77,72
77,77,72,69
81,77,72,69
84
88,79,72,67
86,79,72,67
84
86,81,69,66
84,81,69,66
86
81,62,50,62
83,62,50,62
84,57,45,57
74,54,42,54
81,54,42,54
84,81,78,74,50,38,50
83,83,79,74,55,43,55
81,81,78,72,55,43,55
83,83,79,74
79,79,74,71
83,79,74,71
86
89,81,74,69
88,81,74,69
86
88,83,71,68
86,83,71,68
88
83,64,52,64
84,64,52,64
86,59,47,59
76,56,44,56
83,56,44,56
86,80,76,71,52,40,52
84,81,76,69,57,45,57
76,81,76,69,57,45,57
69,81,76,69,57,45,57
76,81,76,69,57,45,57
84,76,69,69,57,45,57
84,81,76
76,81,76
69,81,76
76,81,76
84,76,69
84,81,76,69,45,33,45
76,81,76,69,45,33,45
69,81,76,69,45,33,45
76,81,76,69,45,33,45
84,76,69,69,45,33,45
84,77,69,69,50,38,50
77,77,69,69,50,38,50
69,74,65,69,50,38,50
62,77,69
69,77,69
77,74,65
84,77,69,62,62,50,62
83,77,69,62,62,50,62
84,74,77,62,62,50,62
83,77,74,62,55,43,55
77,77,74,62,55,43,55
67,77,74,62,55,43,55
77,77,74,62,55,43,55
83,74,67,62,55,43,55
83,77,74
77,77,74
67,77,74
77,77,74
83,74,67
83,77,74,67,43,31,43
77,77,74,67,43,31,43
67,77,74,67,43,31,43
77,77,74,67,43,31,43
83,74,67,67,43,31,43
82,76,67,67,48,36,48
76,76,67,67,48,36,48
67,72,64,67,48,36,48
60,76,67
67,76,67
76,72,64
82,76,67,60,60,48,60
81,76,67,60,60,48,60
82,72,76,60,60,48,60
81,76,72,60,53,41,53
76,76,72,60,53,41,53
65,76,72,60,53,41,53
76,76,72,60,53,41,53
81,72,65,60,53,41,53
81,76,72
76,76,72
65,76,72
76,76,72
81,72,65
81,76,72,69,53,41,53
76,76,72,69,53,41,53
65,76,72,69,53,41,53
76,76,72,69,53,41,53
81,72,65,69,53,41,53
