81
81,57
81,61,57
81,64,61,57
64,61,57
69,64,61,57
73,69,64,61,57
69,64,61,57
76,69,64,61,57
69,64,61,57
81,69,64,61,57
81,57
81,71,62,57
71,62,57
81,71,62,57
71,62,57
80,71,62,57
71,62,57
78,71,62,57
71,62,57
80,71,62,57
71,62,57
83,71,62,57
71,62,57
76,71,62,57
76,57
57
78,57
57
79,64,57
79,76,64,57
79,76,73,64,57
79,76,73,69,64,57
79,76,73,69,57
79,76,73,69,66,57
76,73,69,66,57
66,57
78,74,66,57
78,74,57
78,74,68,57
74,68,57
74,57
74,76,69,57
76,69,57
74,76,69,57
76,69,57
73,76,69,57
76,69,57
71,76,69,57
76,69,57
73,76,69,57
73,76,57
71,73,76,57
73,76,57
64,73,76,57
64,73,57
73,57
66,73,57
73,57
76,73,67,57
76,73,57
76,73,64,57
76,73,57
76,73,61,57
76,73,61
76,73,61,57
76,73,57
76,73,66,57
66,57
69,66,57
69,57
69,74,65,57
74,65,57
68,74,65,57
68,74,57
74,57
74,69,64,57
69,64,57
74,69,64,57
69,64,57
73,69,64,57
69,64,57
71,69,64,57
71,57
57
69,73,64,57
73,64,57
68,73,64,57
68,73,64
73,64
69,73,61,64
69,73,64
69,73,54,64
73,54,64
73,64
56,73,64
56
71,66,57,63
71,66,63
71,66,54,63
71,66,63
71,66,51,63
71,66,63
71,66,47,63
47
71,56
71,59,56
71,64,59,56
64,59,56
64,56
73,64,56
73,64
64
69,64,61,54
64,61,54
73,64,61,54
64,61,54
66,64,61,54
64,61,54
68,64,61,54
64,61,54
64,69,61,54
69,61,54
66,69,61,54
66,69,54
69,54
63,59,69,54
63,59,69
63,69
63,57,69
63,57
57
69,64,59,52
64,59,52
69,64,59,52
64,59,52
68,64,59,52
64,59,52
66,64,59,52
66,52
52
64,68,52,59
68,52,59
63,68,52,59
63,68,59
68,59
64,68,54,59
64,68,59
64,68,47,59
64,68,59
64,68,49,59
64,68,59
64,68,59,50
64,68,47,59,50
64,68,44,47,59,50
44,47,50
68,40,44,47,50
69,49,64
49,64
71,49,64,57
71,64,57
64,57
73,47,64,57
71,47,64,57
47,64,57
73,47,64,57
47,64,57
69,47,64,56
47,64,56
71,47,64,56
71,64,56
64,56
73,64,45
71,73,64,45
73,64,45
69,73,64,45
73,64,45
68,73,64,45,52
68,73,64,52
73,64
69,73,64,57
69,73,64
69,73,64,59
69,73,64
69,73,64,52
69,73,64
69,73,64,54
69,73,64
69,73,64,55
69,73,64,55,52
69,73,64,55,52,49
55,52,49
73,45,55,52,49
74,69,54
69,54
73,69,54,62
69,54,62
74,69,54,62
74,69,62
69,62
76,69,52,62
76,69,52
69,52
74,69,52,61
74,52,61
52,61
76,52,61
76,61
76
78,69,50
76,78,69,50
74,78,69,50
73,78,69,50,57
73,78,69,57
73,78,69
74,78,69,62
74,78,69
74,78,69,66
74,78,69
74,78,69,59
74,59
74
78,61
80,76,62
76
81,76,59
76,59
80,76,59,56
76,59,56
81,76,59,56,52
76
83,76,61
81,76,61
83,76,61
81,76,61
83,76,61,64
81,76,61,64
83,76,61,64
83,76,64
81,76,64
83,76,59,64
81,76,59,64
81,59,64
83,59,64
59,64
81,59,64
81,64
64
80,57,64
57,64
81,57,64
81,64
64
76,83,64,55
83,64,55
81,83,64,55
83,64,55
80,83,64,55
83,64,55
78,83,57,64,55
83,64,55
76,83,59,64,55
83,59,64,55
74,83,59,64,55
83,59,64,55
73,83,59,55,64
73,83,59,64
83,59,64
71,83,59,64
71,83,64
83,64
83,73,57,64
73,57,64
76,73,57,64
76,73,64
73,64
81,61,73,64
81,61,64
81,64
81,73,57,64
81,73,57
73,57
64,71
64,71,74
71,74
81,71,74,52
71,74,52
71,74,80,52
74,80,52
74,80
80
57,57,80
57
80,64,57
57
66,78,57
57
76,68,57
57
78,69,57
69
81,69
69
73,69,57
57
75,68,57
75,68
76,58
58
73,58
73,70,58
73,70,66,58
66,58
76,70,73,66,58
70,73,66,58
75,70,73,66,58
75,70,73,66
70,73,66
76,70,73,66,54
76,70,73,66
76,70,73,66,56
76,70,73,66
70,73,66
78,70,73,66,58
78,66,58
78,66
75,66,59
73,75,66,59
75,66,59
71,75,66,59
75,66,59
70,75,66,59
75,66,59
75,71,66,59
75,71,66
61,75,71,66
75,71,66
54,75,71,66
54,71
71
56,71
71
66,75,71,57
66,75,71
66,75,71,57,54
66,75,71,57,54,51
66,75,71,47,57,54,51
47,57,54,51
74,71,56
71,56
73,71,56
71,56
59,74,71,56
74,71,56
74,71,64,56
71,64,56
76,71,64,56
76,64
64
71,73,57,64
73,57,64
71,73,57,64
71,73,64
73,64
69,73,56,64
73,56,64
68,73,56,64
68,56
68
69,54
54
73,54
73
66,52
52
68,52
68
69,51
69,51,66
69,66
69,63,66,47
69,63,66,59,47
63,66,59,47
63,66,59
68,52
59,68,52
59,68
68
64,68,40
64,40
64,68,40
68
68,45
45
68,52,45
45
66,54,45
45
64,56,45
45
66,57,45
57,45
69,57,45
69,57
57
61,57,45
61,45
45
63,56,45
63,56
64,64,46
64,61,64,46
64,61,64,46,58
64,61,64,46,54,58
61,64,46,54,58
46,54,58
64,46,54,58
46,54,58
63,46,54,58
63,54,58
54,58
64,42,54,58
64,54,58
64,44,54,58
44,54,58
54,58
66,46,54,58
66,46
63,35
