83,65
83,66,57
76,66,57
75,66,57
74,66,57
75,66,57
85,66,57
84,66,57
84,66,58
75,66,58
74,58
71,58
71,67,58
70,67,58
76,67
75,67
75,68,58
74,68,58
77,68,58
80,68,58
83,68,62
82,68,62
82,68,58
80,68,58
78,68,58
77,68,58
75,68,58
74,68,58
74,68,63
75,67,63
75,65,63
67
67,65
69,65
71,65
72,63
65,63
68,63
68,62
67,62
65,60
67,65,60
68,63,60
67,63,60
66,63,60
67,63,60
67
75
75,67,60
74,67,60
72,67,60
70,67,60
68,65,60
67,65,60
67,63,60
66,63,60
66,62,60
65,62,60
67,62,59
65,62,59
64,62,59
65,62,59
73
73,65,58
72,65,58
70,65,58
68,65,58
66,63,58
65,63,58
65,61,58
64,61,58
64,60,58
63,60,58
65,60,57
63,60,57
62,60,57
63,60,57
72
72,63,56
70,63,56
68,62,56
67,62,56
66,60,56
75,60,56
75,58,55
74,58,55
73,58,55
73,57,55
74,57,55
63,57,54
62,57,54
62
64,62
66,62
67,62
69,60,54
70,60,54
72,60,54
74,60,54
75,58,55
74,58,55
79,58,55
79,57,48
78,57,48
81,57,48
81,50,46
74,50,46
75,54,46
74,54,46
73,54,46
74,54,46
86,54
86,55,46
84,55,46
82,55,46
81,55,46
79,55,46
86,55,46
77,55,46
77,56,47
75,56,47
74,56,47
72,56,47
74,47
80,47
79,50
77,50
75,55,48
74,55,48
72,55,48
71,55,48
72,55
77,55
75,55
74,55
72,57,48
70,57,48
69,57,48
67,57,48
69,57,48
74,57,48
72,57,48
70,57,48
69,58,49
67,58,49
66,58,49
64,58,49
66,49
70,49
69,52
67,52
66,57,50
64,57,50
62,57,50
61,57,50
62,57
67,57
66,57
64,57
62,58,50
60,58,50
58,58,50
57,58,50
58,58,50
63,58,50
62,58,50
60,58,50
58,60,50
57,60,50
55,60,50
54,60,50
54,60,55
55,60,55
55,58,55
55,57,55
58,55
58,50
43
57
58
60
62
81,62
82,65,62
81,65,62
80,65,62
81,65,62
75,65
74,65
74,66,60
76,66,60
78,66,60
79,66,60
81,66,60
72,66,60
75,66,60
75,67,58
74,67,58
77,67,58
79,62,55
77,62,55
75,62,55
77,62,57
68,58
67,58
67,65,59
69,65,59
71,65,59
72,65,59
74,65,59
65,65,59
68,65,59
68,63,60
67,63,60
72,63,60
72,62,60
71,62,60
72,63
75,63
73,63
73,64,55
72,64,55
72,65,56
77,65,56
75,65,56
75,66,57
77,66,57
75,66,57
74,66,57
75,66,58
81,66,58
82,66,58
75,65,58
74,66,58
68
62
62,59
63,59
65,59
66,58
63,58
65,58
65,56
59,56
59,54
70,58,54
71,63,54
70,63,54
68,63,54
70,63,54
70,63
82,63
82,64,55
83,64,55
82,64,55
80,64,55
82,64,55
73,64,55
73,64,56
71,64,56
70,64,56
70,56
71,56
73,65,56
71,65,56
70,65,56
71,65,56
71,65
83,65
83,66,57
76,66,57
75,66,57
74,66,57
75,66,57
85,66,57
84,66,57
84,66,58
75,66,58
74,58
71,58
71,67,58
70,67,58
76,67
75,67
75,68,58
74,68,58
77,68,58
80,68,58
83,68,62
82,68,62
82,68,58
80,68,58
78,68,58
77,68,58
75,68,58
74,68,58
74,68,63
75,67,63
75,65,63
67
67,65
69,65
71,65
72,63
65,63
68,63
68,62
67,62
65,60
67,65,60
68,63,60
67,63,60
66,63,60
67,63,60
67
75
75,67,60
74,67,60
72,67,60
70,67,60
68,65,60
67,65,60
67,63,60
66,63,60
66,62,60
65,62,60
67,62,59
65,62,59
64,62,59
65,62,59
73
73,65,58
72,65,58
70,65,58
68,65,58
66,63,58
65,63,58
65,61,58
64,61,58
64,60,58
63,60,58
65,60,57
63,60,57
62,60,57
63,60,57
72
72,63,56
70,63,56
68,62,56
67,62,56
66,60,56
75,60,56
75,58,55
74,58,55
73,58,55
73,57,55
74,57,55
63,57,54
62,57,54
62
64,62
66,62
67,62
69,60,54
70,60,54
72,60,54
74,60,54
75,58,55
74,58,55
79,58,55
79,57,48
78,57,48
81,57,48
81,50,46
74,50,46
75,54,46
74,54,46
73,54,46
74,54,46
86,54
86,55,46
84,55,46
82,55,46
81,55,46
79,55,46
86,55,46
77,55,46
77,56,47
75,56,47
74,56,47
72,56,47
74,47
80,47
79,50
77,50
75,55,48
74,55,48
72,55,48
71,55,48
72,55
77,55
75,55
74,55
72,57,48
70,57,48
69,57,48
67,57,48
69,57,48
74,57,48
72,57,48
70,57,48
69,58,49
67,58,49
66,58,49
64,58,49
66,49
70,49
69,52
67,52
66,57,50
64,57,50
62,57,50
61,57,50
62,57
67,57
66,57
64,57
62,58,50
60,58,50
58,58,50
57,58,50
58,58,50
63,58,50
62,58,50
60,58,50
58,60,50
57,60,50
55,60,50
54,60,50
55,60,55
55,58,55
55,57,55
58,55
58,54
55
50
43
