71,52
64,60
64,62
66,60
67,59
69,57
71,55
72,69,54
72,69,52
64,69,54
64,69,59
63,69,57
63,69,59
64,69,52
64,71,55
64,69,55
64,67,59
64,66,59
67,64
69,64
71,52
67,52
69,50
71,50
76,64,48
76,66,60
76,67,60
76,69,59
76,71,59
76,72,57
78,72,57
79,64,57
76,64,57
78,63,57
79,63,57
72,64,57
74,64,57
76,64,60
72,64,60
74,64,57
76,64,57
69,54
71,54
72,50
69,50
71,62
72,62
71,76,55
72,76,57
74,76,55
71,76,53
72,76,52
74,76,50
67,76,48
67,78,48
67,79,52
67,76,52
67,78,48
67,79,48
67,72,45
67,74,47
79,76,48
79,72,45
79,74,47
79,76,48
79,69,50
79,71,50
78,72,38
78,69,38
81,71,54
81,72,54
81,71,55
81,72,57
79,74,59
79,71,55
77,72,57
77,74,59
76,67,60
74,67,60
72,67,64
76,67,64
74,67,57
72,67,57
71,67,62
71,67,60
71,79,59
71,79,62
83,79,60
83,79,59
81,79,60
81,79,59
81,78,57
81,78,55
84,81,54
84,81,57
83,81,55
83,81,54
83,79,52
83,79,50
86,77,48
86,77,47
79,76,48
79,74,48
81,72,45
81,76,45
78,74,50
78,72,50
79,71,43
79,71,47
79,71,50
79,71,55
79,71,50
79,71,47
79,71,43
