60
60,67
62,67
64,67,60
64,65,60
64,64,60,67
65,64,62,67
67,64,64,67,60
67,62,64,65,60
67,60,64,64,60,67
65,60,65,64,62,67
64,60,67,64,64,67,60
64,62,67,62,64,65,60
64,64,67,60,64,64,60,67
62,64,65,60,65,64,62,67
60,64,64,60,67,64,64,67
60,65,64,62,67,62,64,65
60,67,64,64,67,60,64,64
62,67,62,64,65,60,65,64
64,67,60,64,64,60,67,64
64,65,60,65,64,62,67,62
64,64,60,67,64,64,67,60
65,64,62,67,62,64,65,60
67,64,64,67,60,64,64,60
67,62,64,65,60,65,64,62
67,60,64,64,60,67,64,64
65,60,65,64,62,67,62,64
64,60,67,64,64,67,60,64
64,62,67,62,64,65,60,65
64,64,67,60,64,64,60,67
62,64,65,60,65,64,62,67
60,64,64,60,67,64,64,67
60,65,64,62,67,62,64,65
60,67,64,64,67,60,64,64
62,67,62,64,65,60,65,64
64,67,60,64,64,60,67,64
64,65,60,65,64,62,67,62
64,64,60,67,64,64,67,60
65,64,62,67,62,64,65,60
67,64,64,67,60,64,64,60
67,62,64,65,60,65,64,62
67,60,64,64,60,67,64,64
65,60,65,64,62,67,62,64
64,60,67,64,64,67,60,64
64,62,67,62,64,65,60,65
64,64,67,60,64,64,60,67
62,64,65,60,65,64,62,67
60,64,64,60,67,64,64,67
60,65,64,62,67,62,64,65
60,67,64,64,67,60,64,64
