50
57
53
50
49
50
52
53
55
53
52
57,50
57,52
57,50
57,48
62,48
62,50
62,48
62,47
60,47
60,45
60,47
60,48
57,50
57,52
57,53
57,50
56,52
56,53
56,52
56,50
57,48
57,47
59,45
59,44
60,45
60,57
60,56
60,57
60,50
62,50
60,55
58,55
62,57,55
62,57,53
62,57,52
62,57,50
69,57,49
69,67,49
69,65,49
69,64,49
65,62,50
65,60,50
65,58,38
65,57,38
62,58,43
62,57,45
62,55,46
62,53,46
61,52,46
61,52,45
61,52,43
76,67,52
74,67,57
72,67,57
72,65,50
74,65,50
72,65,55
70,65,55
70,64,49
69,64,57,49
67,64,57,49
65,62,57,50
72,62,57,50
70,65,62,50
69,65,62,50
68,65,62,52
68,64,60,52
64,60,52
68,64,60,52
69,64,60,53
69,62,57,53
62,57,53
69,62,57,53
74,57,47
76,57,47
77,56,47
77,74,56,47
76,72,57,48
76,71,57,48
76,69,59,48
76,68,59,48
76,69,60,48
81,69,60,48
80,69,60,50
81,69,60,50
76,60,52
78,62,52
79,76,61,52
79,76,59,52
79,76,57,53
79,69,57,53
77,74,57,50
77,72,57,50
77,70,58,55
77,69,58,55
76,67,58,55
74,65,58,55
73,64,58,55
76,64,57,49
76,64,55,49
69,64,53,50
69,67,52,50
69,65,50,45
69,64,49,45
69,62,50,46
69,60,50,46
62,58,52,46
62,57,54,46
62,58,55,46
62,58,53,46
67,58,52,43
67,58,50,43
67,57,49,45
70,57,49,45
69,57,49,45
67,57,49,45
67,57,50,45
69,57,50,45
67,59,50,45
65,59,50,45
65,61,52,45
67,61,52,45
65,61,52,45
64,61,52,45
64,56,53,45
65,56,53,45
64,56,53,45
62,56,53,45
62,57,52,45
59,57,52,45
61,57,52,45
64,57,52,45
57,45
67,46
65,61,57,45
64,61,57,43
62,62,57,43
62,65,57,45
62,64,57,43
62,62,57,41
69,61,41
69,57,43
69,59,41
69,61,40
65,62,38
65,62,50,38
65,60,52
65,60,53
62,60,55
62,60,57,40
62,58,55,41
62,58,53,43
61,58,52,45
61,58,55,45
61,57,53,45
61,55,52,45
62,53,50
62,53,50,46
64,58,50,45
64,58,50,43
65,57,49,45
65,57,49,41
65,57,50,40
65,57,50,38
65,58,50,43
67,58,50,43
65,57,49,45
64,57,49,45
62,57,50,46
62,54,50,48
62,55,52,46
62,57,54,45
62,58,55,43
62,58,55,45
62,58,55,46
62,58,55,43
62,58,55,50
62,57,54,50
62,58,55,50
62,55,52,50
62,57,54,38
