71,55
69,55
67,55
66,55
64,55
62,59
61,64
61,62
61,61
61,59
61,57
64,55
69,54
67,54
66,54
64,54
62,54
61,64
59,62
59,61
59,59
59,57
59,55
69,54
67,52
66,52
64,55
62,59
61,59
59,62
57,61
57,59
61,57
64,55
64,54
67,52
66,50
64,52
62,54
61,55
59,57
57,59
55,61
54,62
52,64
50,66
52,67
48,69
47,69
50,67
50,69
55,67
55,69
59,67
59,69
62,67
62,69
67,67
67,69
62,67
59,67
55,59
53,62
52,62
50,67
49,66
52,67
52,69
55,67
55,69
58,67
58,69
64,67
64,69
67,67
67,69
64,67
58,67
57,61
55,64
54,64
52,67
50,66
55,67
55,69
59,67
59,69
62,67
62,69
67,67
67,69
71,67
71,69
69,67
66,69
62,72
60,66
59,69
57,72
55,71
59,71
62,71
67,71
71,67
74,62
79,59
79,55
74,59
71,62
71,67
66,69
67,71
67,69
67,67
67,66
67,64
71,62
76,61
74,61
73,61
71,61
69,61
67,64
66,69
66,67
66,66
66,64
66,62
76,61
74,59
73,59
71,59
69,59
67,59
66,69
64,67
64,66
64,64
64,62
66,61
67,59
61,64
71,62
69,61
67,59
69,57
71,55
64,61
74,59
73,57
71,55
73,54
74,52
73,57
76,55
78,54
79,52
78,54
76,55
76,54
74,57
73,57
74,62
76,62
74,66
76,66
74,69
76,69
74,74
76,74
74,69
74,66
66,62
69,60
69,59
74,57
73,56
74,59
76,59
74,62
76,62
74,65
76,65
74,71
76,71
74,74
76,74
74,71
74,65
68,64
71,62
71,61
74,59
73,57
74,62
76,62
74,66
76,66
74,69
76,69
74,74
76,74
74,78
76,78
74,76
76,73
79,69
73,67
76,66
79,64
78,62
78,57
78,54
78,50
74,45
69,42
66,38
62,42
66,45
69,50
73,50
74,50
71,55
69,55
67,55
66,55
64,55
62,59
61,64
61,62
61,61
61,59
61,57
64,55
69,54
67,54
66,54
64,54
62,54
61,64
59,62
59,61
59,59
59,57
59,55
69,54
67,52
66,52
64,55
62,59
61,59
59,62
57,61
57,59
61,57
64,55
64,54
67,52
66,50
64,52
62,54
61,55
59,57
57,59
55,61
54,62
52,64
50,66
52,67
48,69
47,69
50,67
50,69
55,67
55,69
59,67
59,69
62,67
62,69
67,67
67,69
62,67
59,67
55,59
53,62
52,62
50,67
49,66
52,67
52,69
55,67
55,69
58,67
58,69
64,67
64,69
67,67
67,69
64,67
58,67
57,61
55,64
54,64
52,67
50,66
55,67
55,69
59,67
59,69
62,67
62,69
67,67
67,69
71,67
71,69
69,67
66,69
62,72
60,66
59,69
57,72
55,71
59,71
62,71
67,71
71,67
74,62
79,59
79,55
74,59
71,62
71,67
66,69
67,71
67,69
67,67
67,66
67,64
71,62
76,61
74,61
73,61
71,61
69,61
67,64
66,69
66,67
66,66
66,64
66,62
76,61
74,59
73,59
71,59
69,59
67,59
66,69
64,67
64,66
64,64
64,62
66,61
67,59
61,64
71,62
69,61
67,59
69,57
71,55
64,61
74,59
73,57
71,55
73,54
74,52
73,57
76,55
78,54
79,52
78,54
76,55
76,54
74,57
73,57
74,62
76,62
74,66
76,66
74,69
76,69
74,74
76,74
74,69
74,66
66,62
69,60
69,59
74,57
73,56
74,59
76,59
74,62
76,62
74,65
76,65
74,71
76,71
74,74
76,74
74,71
74,65
68,64
71,62
71,61
74,59
73,57
74,62
76,62
74,66
76,66
74,69
76,69
74,74
