74,71,55
74,69,55
74,71,43
74,67,43
74,62,55
74,67,55
74,69,54
74,67,54
74,69,42
74,66,42
74,62,54
74,66,54
74,67,52
74,66,52
74,67,40
74,71,40
73,69,52
73,67,52
74,66,50
74,64,50
74,66,38
74,67,38
69,48
66,48
79,67,47
78,67,47
79,67,59
74,67,59
71,67,55
74,67,55
76,67,60
74,67,60
76,67,48
72,67,48
69,67,60
72,67,60
74,67,59
72,67,57
74,67,55
76,67,57
74,66,59
72,66,59
71,67,55
69,67,55
71,67,43
72,67,50
71,55
69,57
67,59
67,57
79,59
79,55
79,74,52
79,74,55
79,73,57
79,73,55
78,73,57
78,73,54
78,72,50
78,72,54
78,71,55
78,71,54
76,64,55
76,64,52
74,68,47
74,68,52
73,69,55
74,69,54
76,69,55
76,69,52
76,67,49
76,67,52
76,66,57
76,66,55
74,66,57
74,66,54
72,69,50
72,69,54
72,62,59
72,62,57
71,67,59
71,67,55
79,71,52
79,71,55
79,73,57
76,73,57
78,69,45
74,69,45
76,67,57
73,67,57
74,67,62
74,67,61
74,66,62
74,66,57
74,66,54
74,66,50
74,71,55
74,69,55
74,71,43
74,67,43
74,62,55
74,67,55
74,69,54
74,67,54
74,69,42
74,66,42
74,62,54
74,66,54
74,67,52
74,66,52
74,67,40
74,71,40
73,69,52
73,67,52
74,66,50
74,64,50
74,66,38
74,67,38
69,48
66,48
79,67,47
78,67,47
79,67,59
74,67,59
71,67,55
74,67,55
76,67,60
74,67,60
76,67,48
72,67,48
69,67,60
72,67,60
74,67,59
72,67,57
74,67,55
76,67,57
74,66,59
72,66,59
71,67,55
69,67,55
71,67,43
72,67,50
71,55
69,57
67,59
67,57
79,59
79,55
79,74,52
79,74,55
79,73,57
79,73,55
78,73,57
78,73,54
78,72,50
78,72,54
78,71,55
78,71,54
76,64,55
76,64,52
74,68,47
74,68,52
73,69,55
74,69,54
76,69,55
76,69,52
76,67,49
76,67,52
76,66,57
76,66,55
74,66,57
74,66,54
72,69,50
72,69,54
72,62,59
72,62,57
71,67,59
71,67,55
79,71,52
79,71,55
79,73,57
76,73,57
78,69,45
74,69,45
76,67,57
73,67,57
74,67,62
74,67,61
74,66,62
74,66,57
74,66,54
74,66,50
78,62,62
76,62,62
78,62,50
74,62,50
69,62,60
74,62,60
79,62,59
78,62,59
79,59,55
74,59,55
71,67,59
74,67,59
76,67,60
75,67,60
76,67,59
79,67,59
78,72,57
76,72,57
75,66,59
76,66,59
78,57
75,55
71,57
75,54
76,71,55
76,69,55
76,71,52
76,67,52
76,64,55
76,67,55
76,72,57
76,71,57
76,72,45
76,69,45
76,66,57
76,69,57
76,71,55
76,69,54
76,71,55
76,72,57
75,71,59
75,69,59
76,67,52
76,66,52
76,67,64
76,69,64
71,62
67,62
60,64
59,64
76,64,60
72,64,57
69,54
72,57
74,59
74,57
74,62,59
74,67,55
74,71,52
74,67,55
74,64,57
74,64,55
72,64,57
71,64,60
72,64,52
72,64,55
72,62,54
72,62,52
74,54
72,57
71,50
69,54
74,55,47
72,55,47
74,55,43
71,55,43
67,55,47
71,55,47
76,55,48
74,55,48
76,48,45
72,48,45
69,60,48
72,60,48
78,60,50
76,60,50
78,57,48
81,57,48
74,60,50
78,60,50
79,60,55
78,60,55
79,59,55
74,59,55
71,59,55
67,59,55
78,62,62
76,62,62
78,62,50
74,62,50
69,62,60
74,62,60
79,62,59
78,62,59
79,59,55
74,59,55
71,67,59
74,67,59
76,67,60
75,67,60
76,67,59
79,67,59
78,72,57
76,72,57
75,66,59
76,66,59
78,57
75,55
71,57
75,54
76,71,55
76,69,55
76,71,52
76,67,52
76,64,55
76,67,55
76,72,57
76,71,57
76,72,45
76,69,45
76,66,57
76,69,57
76,71,55
76,69,54
76,71,55
76,72,57
75,71,59
75,69,59
76,67,52
76,66,52
76,67,64
76,69,64
71,62
67,62
60,64
59,64
76,64,60
72,64,57
69,54
72,57
74,59
74,57
74,62,59
74,67,55
74,71,52
74,67,55
74,64,57
74,64,55
72,64,57
71,64,60
72,64,52
72,64,55
72,62,54
72,62,52
74,54
72,57
71,50
69,54
74,55,47
72,55,47
74,55,43
71,55,43
67,55,47
71,55,47
76,55,48
74,55,48
76,48,45
72,48,45
69,60,48
72,60,48
78,60,50
76,60,50
78,57,48
81,57,48
74,60,50
78,60,50
79,60,55
78,60,55
79,59,55
74,59,55
71,59,55
67,59,55
