
76,76,72,69
81,81,76,72
81,81,76,72,45,33,45
57,45,57
76,76,72,69,57,45,57
77,77,74,62
77,77,74,62,45,33,45
57,45,57
74,74,71,62,57,45,57
76,76,72,57
74,74,71,57
72,72,69,64,45,33,45
76,76,72,64,45,33,45
74,74,71,56,52,40,52
72,72,69,56,52,40,52
71,71,68,64,40,28,40
74,74,71,64,40,28,40
72,72,69,64,45,33,45
69,69,64,60,57,45,57
69,69,64,60,59,47,59
60,48,60
69,69,60,48,60
68,68,64,60,57,45,57
69,69,64,60,57,45,57
71,71,64,59,56,44,56
69,69,64,59,56,44,56
68,68,52,40,52
69,69,52,40,52
72,72,64,57,57,45,57
69,69,64,57,57,45,57
68,68,52,40,52
69,69,52,40,52
74,74,68,62,59,47,59
69,69,68,62,59,47,59
68,68,52,40,52
69,69,52,40,52
76,76,69,60,60,48,60
69,69,69,60,60,48,60
68,68,52,40,52
69,69,52,40,52
77,77,69,57,62,50,62
79,79,69,57,62,50,62
77,77,74,59,50,38,50
76,76,74,59,50,38,50
74,74,68,59,52,40,52
72,72,68,57,52,40,52
71,71,74,56,53,41,53
69,69,74,57,53,41,53
68,68,74,59,52,40,52
68,68,76,59,52,40,52
64,64,74,71,40,28,40
64,64,72,71,40,28,40
83,83,71,68
83,83,69,68
83,83,68,64,64,52,64
83,83,66,64,62,50,62
83,83,64,64,60,48,60
83,83,74,64,60,48,60
81,81,72,69,64,52,64
80,80,71,71,64,52,64
81,81,69,72,60,48,60
81,81,67,72,60,48,60
84,84,66,60,57,45,57
84,84,64,60,57,45,57
84,84,66,57,62,50,62
84,84,74,57,62,50,62
78,78,72,69,50,38,50
78,78,71,69,50,38,50
81,81,69,66
81,81,67,66
81,81,66,62,62,50,62
81,81,64,62,60,48,60
81,81,62,62,59,47,59
81,81,72,62,59,47,59
79,79,71,67,62,50,62
78,78,69,69,62,50,62
79,79,67,71,59,47,59
79,79,66,71,59,47,59
83,83,64,59,55,43,55
83,83,63,59,55,43,55
83,83,64,55,60,48,60
81,81,72,55,60,48,60
79,79,71,64,48,36,48
78,78,69,64,48,36,48
76,76,67,67
76,76,66,67
76,76,64,72,60,48,60
76,76,62,72,59,47,59
76,76,60,66,57,45,57
76,76,60,66,59,47,59
78,78,72,69,57,45,57
79,79,72,69,55,43,55
81,81,72,63,54,42,54
81,81,71,63,55,43,55
72,72,69,66,54,42,54
72,72,67,66,52,40,52
71,71,66,66,51,39,51
71,71,66,66,47,35,47
81,81,78,59,49,37,49
81,81,78,59,51,39,51
79,79,76,71,52,40,52
79,79,76,71,54,42,54
71,71,64,67,55,43,55
71,71,64,67,52,40,52
69,69,64,64,48,36,48
71,71,64,64,48,36,48
72,72,63,67,47,35,47
71,71,63,67,47,35,47
69,69,64,69,48,36,48
67,67,64,71,48,36,48
66,66,72,69,45,33,45
64,64,72,67,45,33,45
63,63,72,66,47,35,47
72,72,66,69,47,35,47
72,72,66,69,49,37,49
72,72,66,69,51,39,51
71,71,67,67,52,40,52
71,71,67,67,54,42,54
76,76,76,71,55,43,55
76,76,76,71,57,45,57
79,79,76,71,59,47,59
79,79,76,71,57,45,57
78,78,75,71,59,47,59
79,79,76,71,59,47,59
78,78,75,71,59,47,59
79,79,76,71,59,47,59
78,78,75,71,47,35,47
79,79,76,71,47,35,47
78,78,75,71,47,35,47
79,79,76,71,47,35,47
78,78,75,72,57,45,57
79,79,75,72,57,45,57
81,81,75,72,55,43,55
78,78,75,72,55,43,55
75,75,57,45,57
76,76,57,45,57
78,78,75,71,45,33,45
75,75,75,71,45,33,45
83,83,76,59,43,31,43
76,76,67,60,48,36,48
78,78,69,60,45,33,45
75,75,66,59,47,35,47
76,76,64,59,40,28,40
74,74,64,59,40,28,40
72,72,76,57,40,28,40
71,71,74,57,40,28,40
69,69,72
69,69,71
69,69,69,64,60,48,60
69,69,67,64,60,48,60
69,69,66,66,51,39,51
71,71,64,66,51,39,51
72,72,63,69,51,39,51
72,72,64,69,51,39,51
72,72,66,51,39,51
71,71,67,51,39,51
69,69,69,66,54,42,54
67,67,71,66,54,42,54
66,66,72,63,45,33,45
67,67,71,63,45,33,45
69,69,69,66,45,33,45
69,69,67,66,45,33,45
69,69,66,45,33,45
67,67,64,45,33,45
66,66,63,57,48,36,48
64,64,64,57,48,36,48
63,63,69,57,42,30,42
63,63,66,57,42,30,42
71,71,67,64,40,28,40
71,71,64,64,40,28,40
67,67,59,64,47,35,47
69,69,59,64,47,35,47
67,67,59,64,47,35,47
69,69,59,64,47,35,47
66,66,63,59,47,35,47
64,64,63,59,47,35,47
64,64,64,56,40,28,40
64,64,64,56,52,40,52
64,64,64,56,50,38,50
48,36,48
76,48,36,48
75,47,35,47
76,47,35,47
81,45,33,45
80,45,33,45
81,76,72,69,45,33,45
81,81,76,72
76,81,76,72
75,57,45,57
76,57,45,57
84,64,52,64
83,80,76,71,64,52,64
83,81,78,72,64,52,64
83,83,80,74
76,83,80,74
74,52,40,52
76,52,40,52
83,44,32,44
81,44,32,44
83,76,68,71,44,32,44
83,83,74,68
76,83,74,68
74,52,40,52
76,52,40,52
86,57,45,57
84,81,76,72,57,45,57
84,83,76,74,57,45,57
84,84,81,76
76,84,81,76
74,57,45,57
76,57,45,57
84,45,33,45
83,45,33,45
81,48,36,48
79,48,36,48
77,50,38,50
74,50,38,50
72,53,41,53
74,53,41,53
83,43,31,43
81,43,31,43
79,47,35,47
77,47,35,47
76,48,36,48
72,48,36,48
71,52,40,52
72,52,40,52
81,53,41,53
79,53,41,53
77,57,45,57
76,57,45,57
74,47,35,47
71,47,35,47
69,50,38,50
71,50,38,50
80,40,28,40
81,40,28,40
80,52,40,52
78,52,40,52
76,56,44,56
