
64
74,50
78,74,50
81,62,54
73,62,52
74,54
74,62,54
74,64,54
66,50
67,50
69,50
71,55
62,55
63,54
69,54
67,52
64,52
66,52
68,40
69,40
71,40
73,45
64,45
65,44
71,44
69,42
66,42
68,42
70,54
71,54
73,54
74,59
65,59
66,57
73,57
71,56
74,56
73,56
71,54
69,54
68,54
66,56
64,56
63,56
64,49
66,49
67,49
61,52
64,52
67,49
71,49
71,54
69,54
68,54
69,42
71,42
73,42
74
78
76
74,47
73,47
71,47
69,52
68,52
66,52
68,40
69,40
71,40
73
76
74
73,45
71,45
69,45
67,50
66,50
65,50
66,38
67,38
69,38
71
74
73
71,44
69,44
67,44
66,49
64,49
63,49
64,47
66,47
67,47
61,45
62,45
61,45
78,59,44
78,57,44
78,56,44
85,57,42
85,66,42
85,59,44
85,65,44
85,66,45
85,61,45
83,68,40
85,68,40
86,59,40
85,57,42
85,66,42
85,59,44
85,65,44
85,66,45
85,61,45
83,68,40
85,68,40
86,59,40
85,57,42
85,66,42
86,59,47
86,68,47
85,57,49
85,66,49
83,56,37
83,65,37
81,66,42
81,61,42
80,59,42
81,61,42
78,57
73,57
74,54
78,54
72,54
80,73,56
80,71,53
73,69,53
73,68
71,68
70,67,52
71,67,52
70,66,52
78,58,54
78,59,51
71,59,51
71
71,66
83,68,50
83,71,50
85,65,49
83,65,49
85,65,49
83,65,49
85,73,49
83,73,49
85,73,49
83,73,49
82,73,54
82,66,54
66,58
64,58
81,63,54
81,64,54
83,63,59
81,63,59
83,63,59
81,63,59
83,71,59
81,71,59
83,71,59
81,71,59
80,71,52
80,64,52
64,62
64,61
64,59
79,76,61
79,76,64
78,76,58
78,78,66
82,75,66
82,75,59
83,59
83,57
71,74,56
71,74,57
77,74,56
77,76,65
80,73,65
80,73,59
73,57
71,56
69,61,54
68,61,53
69,73,54
78,73,54
71,73,56
77,73,56
78,73,57
73,73,57
80,71,53
80,73,53
71,74,53
69,73,54
78,73,54
71,73,56
77,73,56
78,73,57
73,73,57
80,71,53
80,73,53
71,74,53
69,73,54
78,73,54
71,74,59
80,74,59
69,73,61
78,73,61
68,71,49
77,71,49
